key,table,entry_id,field,index,english,korean
Table_Allies|fleshfly|description|,Table_Allies,fleshfly,description,,A freshly-hatched serpent,막 부화한 뱀
Table_Allies|fleshfly|taunt|,Table_Allies,fleshfly,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|Crawler|tags|1,Table_Allies,Crawler,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|Crawler|name|,Table_Allies,Crawler,name,,Crawler,기어다니는 것
Table_Allies|Crawler|name_color|,Table_Allies,Crawler,name_color,,[color=#50a000]Crawler[/color],[color=#50a000]기어다니는 것[/color]
Table_Allies|Crawler|description|,Table_Allies,Crawler,description,,A swift undead creature sprung from a Worm-born,벌레 태어난 자에서 솟아난 빠른 불사 생물
Table_Allies|Crawler|taunt|,Table_Allies,Crawler,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|JadeSoldier|name|,Table_Allies,JadeSoldier,name,,JadeSoldier,옥 병사
Table_Allies|JadeSoldier|name_color|,Table_Allies,JadeSoldier,name_color,,[color=#50f080]Jade Soldier[/color],[color=#50f080]옥 병사[/color]
Table_Allies|JadeSoldier|description|,Table_Allies,JadeSoldier,description,,A soldier conjured from the glint of jade,옥의 광채에서 소환된 병사
Table_Allies|JadeSoldier|taunt|,Table_Allies,JadeSoldier,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|skeleton|tags|1,Table_Allies,skeleton,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|skeleton|name|,Table_Allies,skeleton,name,,Skeleton,해골
Table_Allies|skeleton|name_color|,Table_Allies,skeleton,name_color,,[color=#a0a000]Skeleton Warrior[/color],[color=#a0a000]해골 전사[/color]
Table_Allies|skeleton|description|,Table_Allies,skeleton,description,,A reanimated warrior bound to its master,주인에게 묶인 부활한 전사
Table_Allies|skeleton|taunt|,Table_Allies,skeleton,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|skeleton_archer|tags|1,Table_Allies,skeleton_archer,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|skeleton_archer|name|,Table_Allies,skeleton_archer,name,,Skeleton Archer,해골 궁수
Table_Allies|skeleton_archer|name_color|,Table_Allies,skeleton_archer,name_color,,[color=#a0a000]Skeleton Archer[/color],[color=#a0a000]해골 궁수[/color]
Table_Allies|skeleton_archer|description|,Table_Allies,skeleton_archer,description,,A reanimated marksman bound to its master,주인에게 묶인 부활한 사수
Table_Allies|skeleton_archer|taunt|,Table_Allies,skeleton_archer,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|SacredSkin|tags|1,Table_Allies,SacredSkin,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|SacredSkin|name|,Table_Allies,SacredSkin,name,,Sacred Skin,신성한 피부
Table_Allies|SacredSkin|name_color|,Table_Allies,SacredSkin,name_color,,[color=#70c0c0]Sacred Skin[/color],[color=#70c0c0]신성한 피부[/color]
Table_Allies|SacredSkin|description|,Table_Allies,SacredSkin,description,,A writhing sheet of flesh offered by a pious Morlock,경건한 모를록이 바친 꿈틀거리는 살가죽
Table_Allies|SacredSkin|taunt|,Table_Allies,SacredSkin,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|GraveIdol|name|,Table_Allies,GraveIdol,name,,Grave Idol,무덤 우상
Table_Allies|GraveIdol|name_color|,Table_Allies,GraveIdol,name_color,,[color=#a0a000]Grave Idol[/color],[color=#a0a000]무덤 우상[/color]
Table_Allies|GraveIdol|description|,Table_Allies,GraveIdol,description,,A death-absorbing monolith of foul energies,불결한 에너지를 흡수하는 죽음의 돌기둥
Table_Allies|GraveIdol|taunt|,Table_Allies,GraveIdol,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|MawEresh|tags|1,Table_Allies,MawEresh,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|MawEresh|name|,Table_Allies,MawEresh,name,,Mouth of Eresh,에레시의 입
Table_Allies|MawEresh|name_color|,Table_Allies,MawEresh,name_color,,[color=#a0a000]Mouth of Eresh[/color],[color=#a0a000]에레시의 입[/color]
Table_Allies|MawEresh|description|,Table_Allies,MawEresh,description,,An undead beast formed from Eresh's hunger and grief,에레시의 굶주림과 슬픔에서 생겨난 불사 야수
Table_Allies|MawEresh|taunt|,Table_Allies,MawEresh,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|TealPrisma|name|,Table_Allies,TealPrisma,name,,Teal Prisma,청록 프리즈마
Table_Allies|TealPrisma|name_color|,Table_Allies,TealPrisma,name_color,,[color=#30ffaf]Teal Prisma[/color],[color=#30ffaf]청록 프리즈마[/color]
Table_Allies|TealPrisma|description|,Table_Allies,TealPrisma,description,,A glimmering pedestal containing a cold-tinted stone,차가운 빛깔의 돌을 담은 반짝이는 받침대
Table_Allies|TealPrisma|taunt|,Table_Allies,TealPrisma,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|TopazPrisma|name|,Table_Allies,TopazPrisma,name,,Topaz Prisma,황옥 프리즈마
Table_Allies|TopazPrisma|name_color|,Table_Allies,TopazPrisma,name_color,,[color=#af9040]Topaz Prisma[/color],[color=#af9040]황옥 프리즈마[/color]
Table_Allies|TopazPrisma|description|,Table_Allies,TopazPrisma,description,,A glimmering pedestal containing a ruddy-tinted stone,붉은 빛깔의 돌을 담은 반짝이는 받침대
Table_Allies|TopazPrisma|taunt|,Table_Allies,TopazPrisma,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|GarnetPrisma|name|,Table_Allies,GarnetPrisma,name,,Garnet Prisma,석류석 프리즈마
Table_Allies|GarnetPrisma|name_color|,Table_Allies,GarnetPrisma,name_color,,[color=#af30af]Garnet Prisma[/color],[color=#af30af]석류석 프리즈마[/color]
Table_Allies|GarnetPrisma|description|,Table_Allies,GarnetPrisma,description,,A glimmering pedestal containing a fierce pulsating stone,맹렬하게 박동하는 돌을 담은 반짝이는 받침대
Table_Allies|GarnetPrisma|taunt|,Table_Allies,GarnetPrisma,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|blightpriest|tags|0,Table_Allies,blightpriest,tags,0,[color=#8050f0]Priest[/color],[color=#8050f0]사제[/color]
Table_Allies|blightpriest|tags|1,Table_Allies,blightpriest,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|blightpriest|name|,Table_Allies,blightpriest,name,,Blight Priest,역병 사제
Table_Allies|blightpriest|name_color|,Table_Allies,blightpriest,name_color,,[color=#a0a000]Blight Priest[/color],[color=#a0a000]역병 사제[/color]
Table_Allies|blightpriest|description|,Table_Allies,blightpriest,description,,A loyal acolyte of Death. Despises the living,죽음에 충성하는 수련자. 살아있는 자를 경멸한다
Table_Allies|blightpriest|taunt|,Table_Allies,blightpriest,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|StarPriest|tags|0,Table_Allies,StarPriest,tags,0,[color=#8050f0]Priest[/color],[color=#8050f0]사제[/color]
Table_Allies|StarPriest|name|,Table_Allies,StarPriest,name,,Star Priest,별 사제
Table_Allies|StarPriest|name_color|,Table_Allies,StarPriest,name_color,,[color=#8030af]Star Priest[/color],[color=#8030af]별 사제[/color]
Table_Allies|StarPriest|description|,Table_Allies,StarPriest,description,,A loyal acolyte of the Stars. Summoned from a distant tower,별에 충성하는 수련자. 멀리 있는 탑에서 소환되었다
Table_Allies|StarPriest|taunt|,Table_Allies,StarPriest,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|grovepriest|tags|0,Table_Allies,grovepriest,tags,0,[color=#8050f0]Priest[/color],[color=#8050f0]사제[/color]
Table_Allies|grovepriest|name|,Table_Allies,grovepriest,name,,Grove Priest,숲 사제
Table_Allies|grovepriest|name_color|,Table_Allies,grovepriest,name_color,,[color=#00a000]Grove Priest[/color],[color=#00a000]숲 사제[/color]
Table_Allies|grovepriest|description|,Table_Allies,grovepriest,description,,A loyal acolyte of Life. Summoned from a vibrant forest grove,생명에 충성하는 수련자. 생기 넘치는 숲 성지에서 소환되었다
Table_Allies|grovepriest|taunt|,Table_Allies,grovepriest,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|flamepriest|tags|0,Table_Allies,flamepriest,tags,0,[color=#8050f0]Priest[/color],[color=#8050f0]사제[/color]
Table_Allies|flamepriest|name|,Table_Allies,flamepriest,name,,Flame Priest,화염 사제
Table_Allies|flamepriest|name_color|,Table_Allies,flamepriest,name_color,,[color=#ff8000]Flame Priest[/color],[color=#ff8000]화염 사제[/color]
Table_Allies|flamepriest|description|,Table_Allies,flamepriest,description,,A loyal acolyte of Fire. Summoned from a volcanic temple,화염에 충성하는 수련자. 화산 신전에서 소환되었다
Table_Allies|flamepriest|taunt|,Table_Allies,flamepriest,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|cadaver|tags|1,Table_Allies,cadaver,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|cadaver|name|,Table_Allies,cadaver,name,,Cadaver,시체
Table_Allies|cadaver|name_color|,Table_Allies,cadaver,name_color,,[color=#a0a000]Cadaver[/color],[color=#a0a000]시체[/color]
Table_Allies|cadaver|description|,Table_Allies,cadaver,description,,A grim servant,암울한 하인
Table_Allies|cadaver|taunt|,Table_Allies,cadaver,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|slouchingdead|tags|1,Table_Allies,slouchingdead,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|slouchingdead|name|,Table_Allies,slouchingdead,name,,Slouching Dead,구부정한 죽은 자
Table_Allies|slouchingdead|name_color|,Table_Allies,slouchingdead,name_color,,[color=#a0a000]Slouching Dead[/color],[color=#a0a000]구부정한 죽은 자[/color]
Table_Allies|slouchingdead|description|,Table_Allies,slouchingdead,description,,A waddling undead servant of Eresh,에레시의 뒤뚱거리는 불사 하인
Table_Allies|slouchingdead|taunt|,Table_Allies,slouchingdead,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|bleedingdead|tags|1,Table_Allies,bleedingdead,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|bleedingdead|name|,Table_Allies,bleedingdead,name,,Bleeding Dead,출혈하는 죽은 자
Table_Allies|bleedingdead|name_color|,Table_Allies,bleedingdead,name_color,,[color=#ff2020]Bleeding Dead[/color],[color=#ff2020]출혈하는 죽은 자[/color]
Table_Allies|bleedingdead|description|,Table_Allies,bleedingdead,description,,An undead servant conjured from inflamed gore,불타오르는 유혈에서 소환된 불사 하인
Table_Allies|bleedingdead|taunt|,Table_Allies,bleedingdead,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|gilded_dead|tags|1,Table_Allies,gilded_dead,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|gilded_dead|name|,Table_Allies,gilded_dead,name,,Gilded Dead,황금 죽은 자
Table_Allies|gilded_dead|name_color|,Table_Allies,gilded_dead,name_color,,[color=#d09000]Gilded Dead[/color],[color=#d09000]황금 죽은 자[/color]
Table_Allies|gilded_dead|description|,Table_Allies,gilded_dead,description,,A sacred gold-laden warrior summoned from Dumuzi's buried entourage,두무지의 매장된 수행원에서 소환된 신성한 황금 전사
Table_Allies|gilded_dead|taunt|,Table_Allies,gilded_dead,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|HonoredDead|tags|1,Table_Allies,HonoredDead,tags,1,[color=#a0a000]Undead[/color],[color=#a0a000]불사[/color]
Table_Allies|HonoredDead|name|,Table_Allies,HonoredDead,name,,HonoredDead,명예로운 죽은 자
Table_Allies|HonoredDead|name_color|,Table_Allies,HonoredDead,name_color,,[color=#a0a000]Honored Dead[/color],[color=#a0a000]명예로운 죽은 자[/color]
Table_Allies|HonoredDead|description|,Table_Allies,HonoredDead,description,,A heavily-armored skeleton wielding a cursed lance,저주받은 창을 휘두르는 중무장 해골
Table_Allies|HonoredDead|taunt|,Table_Allies,HonoredDead,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|WarPriest|tags|0,Table_Allies,WarPriest,tags,0,[color=#8050f0]Priest[/color],[color=#8050f0]사제[/color]
Table_Allies|WarPriest|name|,Table_Allies,WarPriest,name,,War-Priest,전쟁 사제
Table_Allies|WarPriest|name_color|,Table_Allies,WarPriest,name_color,,[color=#4080af]War-Priest[/color],[color=#4080af]전쟁 사제[/color]
Table_Allies|WarPriest|description|,Table_Allies,WarPriest,description,,A martial priest drawn to the authority of a Gala. Attacks with a mind-repelling lance,갈라의 권위에 이끌린 전투 사제. 정신 격퇴 창으로 공격한다
Table_Allies|WarPriest|taunt|,Table_Allies,WarPriest,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|tugar|name|,Table_Allies,tugar,name,,Tugar,투가르
Table_Allies|tugar|name_color|,Table_Allies,tugar,name_color,,[color=#bf9f40]Tugar[/color],[color=#bf9f40]투가르[/color]
Table_Allies|tugar|description|,Table_Allies,tugar,description,,A loyal beast from the rolling steppe,넓은 초원의 충직한 야수
Table_Allies|tugar|taunt|,Table_Allies,tugar,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|mardok|name|,Table_Allies,mardok,name,,Beast of Mardok,마르독의 야수
Table_Allies|mardok|name_color|,Table_Allies,mardok,name_color,,[color=#ff8030]Beast of Mardok[/color],[color=#ff8030]마르독의 야수[/color]
Table_Allies|mardok|description|,Table_Allies,mardok,description,,A splendid beast empowered by the sacred blood of Mardok,마르독의 신성한 피로 강화된 화려한 야수
Table_Allies|mardok|taunt|,Table_Allies,mardok,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|grika|name|,Table_Allies,grika,name,,Grika,그리카
Table_Allies|grika|name_color|,Table_Allies,grika,name_color,,[color=#5080ff]Grika[/color],[color=#5080ff]그리카[/color]
Table_Allies|grika|description|,Table_Allies,grika,description,,An ice-born beast summoned from a sacred glacier,신성한 빙하에서 소환된 얼음 태생 야수
Table_Allies|grika|taunt|,Table_Allies,grika,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|Thrall|name|,Table_Allies,Thrall,name,,Thrall,종
Table_Allies|Thrall|name_color|,Table_Allies,Thrall,name_color,,[color=#af8f50]Thrall[/color],[color=#af8f50]종[/color]
Table_Allies|Thrall|description|,Table_Allies,Thrall,description,,An honor-bound axefighter,명예에 묶인 도끼 전사
Table_Allies|Thrall|taunt|,Table_Allies,Thrall,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|fireknight|name|,Table_Allies,fireknight,name,,Fire Knight,화염 기사
Table_Allies|fireknight|name_color|,Table_Allies,fireknight,name_color,,[color=#ff8000]Fire Knight[/color],[color=#ff8000]화염 기사[/color]
Table_Allies|fireknight|description|,Table_Allies,fireknight,description,,A corporeal warrior summoned from the elemental domain of Fire,화염의 원소 영역에서 소환된 전사
Table_Allies|fireknight|taunt|,Table_Allies,fireknight,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|iceknight|name|,Table_Allies,iceknight,name,,Ice Knight,얼음 기사
Table_Allies|iceknight|name_color|,Table_Allies,iceknight,name_color,,[color=#5080ff]Ice Knight[/color],[color=#5080ff]얼음 기사[/color]
Table_Allies|iceknight|description|,Table_Allies,iceknight,description,,A corporeal warrior summoned from the elemental domain of Ice,냉기의 원소 영역에서 소환된 전사
Table_Allies|iceknight|taunt|,Table_Allies,iceknight,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|astralknight|name|,Table_Allies,astralknight,name,,Astral Knight,성계 기사
Table_Allies|astralknight|name_color|,Table_Allies,astralknight,name_color,,[color=#8030af]Astral Knight[/color],[color=#8030af]성계 기사[/color]
Table_Allies|astralknight|description|,Table_Allies,astralknight,description,,A noble warrior pledged to stewardship of the Astral Wall,성계 장벽의 청지기직에 서약한 고귀한 전사
Table_Allies|astralknight|taunt|,Table_Allies,astralknight,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|scout|name|,Table_Allies,scout,name,,Scout,정찰병
Table_Allies|scout|name_color|,Table_Allies,scout,name_color,,[color=#bf9f40]Scout[/color],[color=#bf9f40]정찰병[/color]
Table_Allies|scout|description|,Table_Allies,scout,description,,A hired archer,고용된 궁수
Table_Allies|scout|taunt|,Table_Allies,scout,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|pilgrim|name|,Table_Allies,pilgrim,name,,Nomad,유목민
Table_Allies|pilgrim|name_color|,Table_Allies,pilgrim,name_color,,[color=#bf9f40]Nomad[/color],[color=#bf9f40]유목민[/color]
Table_Allies|pilgrim|description|,Table_Allies,pilgrim,description,,A wanderer of the path,길의 방랑자
Table_Allies|pilgrim|taunt|,Table_Allies,pilgrim,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|BlueWyrm|tags|0,Table_Allies,BlueWyrm,tags,0,[color=#10df90]Reptile[/color],[color=#10df90]파충류[/color]
Table_Allies|BlueWyrm|name|,Table_Allies,BlueWyrm,name,,Blue Wyrm,청룡
Table_Allies|BlueWyrm|name_color|,Table_Allies,BlueWyrm,name_color,,[color=#0060ff]Blue Wyrm[/color],[color=#0060ff]청룡[/color]
Table_Allies|BlueWyrm|description|,Table_Allies,BlueWyrm,description,,A wingless beast that spits lightning,번개를 내뿜는 날개 없는 야수
Table_Allies|BlueWyrm|taunt|,Table_Allies,BlueWyrm,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|fanatic|name|,Table_Allies,fanatic,name,,Fanatic,광신자
Table_Allies|fanatic|name_color|,Table_Allies,fanatic,name_color,,[color=#d04040]Fanatic[/color],[color=#d04040]광신자[/color]
Table_Allies|fanatic|description|,Table_Allies,fanatic,description,,A swordfigher devoted to a zealot,성기사에게 헌신한 검사
Table_Allies|fanatic|taunt|,Table_Allies,fanatic,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|worshipper|name|,Table_Allies,worshipper,name,,Worshipper,신도
Table_Allies|worshipper|name_color|,Table_Allies,worshipper,name_color,,[color=#c0c060]Worshipper[/color],[color=#c0c060]신도[/color]
Table_Allies|worshipper|description|,Table_Allies,worshipper,description,,A common worshipper bound to the cult authority of a Liturgist,전례 의식사의 숭배 권위에 묶인 평범한 신도
