english,korean,occurrence_count,examples
A cannibal demi-giant sometimes known as 'the hungry god.' Inhabited the temple-lands of Achra long ago,,1,Table_Enemies:ogre:description
A ceremonial greatblade that purifies its wielder. Forged long ago by a Naqui smith of the temple-lands,,1,Table_Weapons:talwar:rumor
A chakram wielded by a void-wandering knight,,1,Table_Weapons:TransalChakram:rumor
A champion of the Irga tunnels. Protected by armor of 'living gold',,1,Table_Enemies:irga_knight:description
A chestplate forged for the second blight-prince of the gate of death,,1,Table_Armor:darkchest:rumor
A chestplate of a void-wandering knight,,1,Table_Armor:voidchest:rumor
A child of pure 'living gold' worshipped by Hobgoblins,,1,Table_Enemies:golden_wretch:description
A child of the Waking Flower that seeks to spread its slimed roots through the broken places of the astral wall. Attacks with thrashing violet vines,,1,Table_Enemies:GlimmeringBud:description
A child of the high glaciers that encircle Achra. Emits beams of ice,,1,Table_Races:Siku:brief
A citizen of the mountain temple-lands. Practices an empowering ritual of attunement,,1,Table_Races:Naqui:brief
A club carried by a nomad of the high glaciers,,1,Table_Weapons:Sioc_Shillelagh:rumor
A club decorated with sigils of ice. Once belonged to a Granga sorcerer of the crevasse-lands,,1,Table_Weapons:cudgelice:rumor
A club fashioned by a vine-monk of the deep forest,,1,Table_Weapons:Feith_Shillelagh:rumor
A coiling beast flickers through the flame-red sky...,,1,Table_Enemies:robak:rumor
A common worshipper bound to the cult authority of a Liturgist,,1,Table_Allies:worshipper:description
A congealed mass of Umbraliths. Banished from the Void for the eating of stars,,1,Table_Enemies:metalith:description
A conjurer from the desert of the gods. Channels willpower into powerful allies,,1,Table_Classes:Summoner:brief
A conscious spire of frost summoned by an Ice Shah,,1,Table_Allies:livingice:description
A corporeal warrior summoned from the elemental domain of Fire,,1,Table_Allies:fireknight:description
A corporeal warrior summoned from the elemental domain of Ice,,1,Table_Allies:iceknight:description
A crackling purple-blue sash worn by a disciple of Auzom the star-wind,,1,Table_Armor:auzomisash:rumor
A crawling child of Formus,,4,Table_Allies:AntPoison:description | Table_Allies:AntFire:description | Table_Allies:AntBlood:description | Table_Allies:AntAstral:description
"A crowd of purple-robed cultists stand transfixed ""O flower...O unmoving face...beyond the dark...""",,1,Table_Enemies:JeweledVisage:rumor
A crown of the rat-men.,,1,Table_Armor:ratcrown:rumor
A crystalline entity that transmigrates the astral dark,,1,Table_Enemies:jawhara:description
A cultist empowered by a strange mind-devouring fungus,,1,Table_Enemies:agarite:description
A cunning spider summoned from a nest beneath the dawn marshes,,1,Table_Allies:Tsuchigumo:description
A cursed idol built for a nameless god of blood,,1,Table_Enemies:gore_idol:description
A cursed red blade that emits the sound of gnashing teeth. Appeared long ago on the edge of the blood-void before the eating of the stars,,1,Table_Weapons:ToothedSword:rumor
A cursed sheet of flesh derived by a Skin Priest from a wounded enemy,,1,Table_Enemies:dancing_flesh:description
A cursed warrior-spirit animated by priests from the gate of death,,1,Table_Enemies:filthrevenant:description
A curved blade enchanted by blight priests in the gate of death,,1,Table_Weapons:blightsabre2:rumor
A curved blade enchanted with vengeful death.,,1,Table_Weapons:blightsabre:rumor
A curved knife sacred to Shesha phalangites. Bestows high repute in the clay polis of the underground sea,,1,Table_Weapons:seshaknife:rumor
A curved sword infused with poison magic. Forged by a hermit-smith of the dawn marshes,,1,Table_Weapons:bladeemerald:rumor
A dagger crafted from the fang of a fallen night-serpent,,1,Table_Weapons:boneknife:rumor
A dancer-mystic attuned to thunderbolts. Wears a magic war-glove received from the storm temples,,1,Table_Classes:Nartaka:brief
A dank wind brushes you. There is a sharp reptilian stink,,1,Table_Enemies:keliot:rumor
A dark beast hunts here. The land is emptied of life,,1,Table_Enemies:golganth:rumor
A deadly beast of poison mists. Born in the northern filth-valleys and driven south by Brud hunters,,1,Table_Enemies:venomdrake:description
A death-absorbing monolith of foul energies,,1,Table_Allies:GraveIdol:description
A deathly staff. Once belonged to a Brud snakedancer of the dawn marshes,,1,Table_Weapons:CobraIdol:rumor
A debauched mage-giant exiled by the Surtmir clans,,1,Table_Enemies:ikuma:description
A demon composed of white crystals. Born from the fumes of an eaten star,,1,Table_Enemies:demonwhite:description
"A demon of radiant yellow light. Guardian of the mind-warren and the gate of horn. Said to be born from ""the room at the end of the mind""",,1,Table_Enemies:demongold:description
A demon-wretch exiled from the infernal plane. Now spreads blight in the service of a Deathdrake,,1,Table_Enemies:witheredimp:description
A denuded exile of the gate of death. Serves a wandering Skin Priest,,1,Table_Enemies:Gehen:description
A deranged mystic whose body was long ago merged with creatures of the astral dark,,1,Table_Enemies:writhing_monk:description
A disciplined guardian of the rat-man colonies,,2,Table_Allies:ratman_phalangite:description | Table_Enemies:ratman_phalangite:description
A divine spirit fallen from the star-path,,1,Table_Races:Ihra:brief
A dread beast born in the crystal tunnels beneath the frozen waste of Achra,,1,Table_Allies:Grika2:description
A dull cap that once belonged to an arch-priest of the gate of death,,1,Table_Armor:capcurse:rumor
A face-mask of blood-red. Worn by a famous executioner who wandered the coastal plains,,1,Table_Armor:bloodmask:rumor
A face-mask of deep green. Belonged to a vine-sage who wandered the once-endless forests of the West,,1,Table_Armor:Mask_Vine:rumor
A face-mask of dull yellow. Said to be the death mask of the entomed Heliot king,,1,Table_Armor:acidmask:rumor
A face-mask of fiery red. Worn by a high excorite of the war-queen during her conquest of the burning lands,,1,Table_Armor:Mask_Flame:rumor
A face-mask of storm-blue. Worn by a famous Tengu of the temple-lands who wished to hide his beak,,1,Table_Armor:ThunderMask:rumor
A failed apprentice to a Tethic mage. Seeks absolution through sacred distortion. Attacks with corrosive teeth,,1,Table_Enemies:TethicMonk:description
A fanatic servant of a mighty Ruk,,1,Table_Enemies:RukThrall:description
A fanatic soldier from the tunnels above the infernal plane,,1,Table_Enemies:irga_guard:description
"A fanatic warrior-priest from the filth-valleys. Worships an inscrutable entity knows as the ""stinging tree""",,1,Table_Enemies:moroidknight:description
"A faraway voice whispers ""Her mask is raised""...",,1,Table_Enemies:YellowQueen:rumor
A ferocious wild dog,,1,Table_Enemies:hound:description
A fetish that invokes the great serpent-nests of the dawn marshes,,1,Table_Weapons:vilestaff:rumor
A fey warrior adorned with a crest of wide blue feathers. Brandishes a wooden pike hung with grandiose ribbons,,1,Table_Enemies:FeyBlueCrest:description
A fey warrior adorned with a red crest of long curling feathers. Wields a ribbon-wrapped staff,,1,Table_Enemies:FeyRedCrest:description
A fiery demon born from the blood-void,,1,Table_Enemies:demonred:description
A figher trained in a sacred battle-art by mountain priests. Channels piety into offensive power,,1,Table_Classes:Nihang:brief
A fighter exiled from the storm temples and cursed with a frail animal form. Attuned to lightning,,1,Table_Races:Tengu:brief
A fighter trained in the deep forest. Retaliates with pain-fueled blows,,1,Table_Classes:Taugh:brief
A fighter with a magic healing-stance. Trained by a faded gladiatorial clan that once competed in the bouts of lost Shuppurak,,1,Table_Classes:Secutor:brief
A fighter-monk trained by the yellow church. Performs a cleansing stance,,1,Table_Classes:Unataak:brief
A fine curved sword made famous by a wandering champion of the eastern desert,,1,Table_Weapons:scimitar:rumor
A fire-beast of the star-path. A wild refraction of the goddess Phoenix who once brought light to Achra,,1,Table_Enemies:Firebird:description
A fire-breathing pale dancer summoned from the 'eaten stars'. Protects the forbidden gate...,,1,Table_Enemies:robak:description
A flag of the rat-flourishers. A mercenary emblem of the rat-men,,1,Table_Weapons:ratbanner:rumor
A flail of bursting light. Holds the indignant rage of an eaten star,,1,Table_Weapons:CosmicFlail:rumor
A flaming greatsword imbued with the rage-breath of a dragon. A long-lost relic of the burning lands,,1,Table_Weapons:DragonSword:rumor
A flapping pot-bellied minion summoned from the infernal plane,,1,Table_Enemies:impred:description
A flying sword conjured from elemental flame,,1,Table_Allies:BurningBlade:description
A flying sword conjured from the mind-warren,,1,Table_Allies:GlintingBlade:description
A fragile burst of elemental intention,,1,Table_Allies:BallLightning:description
A fragment of everliving vine imprisoned by a Bramble Priest,,1,Table_Enemies:Bramble:description
A frenzied mass of elemental acid summoned from the corpse of a Hamidrake,,1,Table_Enemies:acidbeast:description
A freshly-hatched serpent,,1,Table_Allies:fleshfly:description
A furred denizen of the deep forest and secret mountain-caves. Prefers nakedness. Fights with primal strength,,1,Table_Races:Ape:brief
A gangly tunnel-dweller devoted to the ritual offering of treasures,,1,Table_Races:Goblin:brief
A gathering of Okonic bodies bound by a fleck of divine refraction. An engorged star-eater. Pursues self-birth through the animalistic devouring of light,,1,Table_Enemies:SlouchingBeast:description
A giant spider hatched from the infested caverns of the tunnel-lands,,1,Table_Enemies:longlegs:description
A glimmering beast born in a chasm past the edge of Achra,,1,Table_Allies:Tsuchigumo2:description
A glimmering disc that once adorned the warriors of lost Shuppurak,,1,Table_Armor:JadeDiscplate:rumor
A glimmering pedestal containing a cold-tinted stone,,1,Table_Allies:TealPrisma:description
A glimmering pedestal containing a fierce pulsating stone,,1,Table_Allies:GarnetPrisma:description
A glimmering pedestal containing a ruddy-tinted stone,,1,Table_Allies:TopazPrisma:description
A glimmering skirt worn by mystics of the crystalline warren. Channels the lost spirit of Kairos,,1,Table_Armor:Kairos_Sash:rumor
A glimmering spear once wielded by the sentries of lost Shuppurak,,1,Table_Weapons:jadepilum:rumor
A glimmering straight-sword carried by a wandering executioner of the astral dark,,1,Table_Weapons:Pulwar:rumor
A glimmering veil worn by wandering priests of Kairos that was stolen by a pale demon long ago. Said to aid in an illusory dance,,1,Table_Armor:KairosVeil:rumor
A glinting chestplate worn by knights of the crystalline warren,,1,Table_Armor:bluechest:rumor
A glinting head-crystal worn by master-servants of the yellow church,,1,Table_Armor:cappsy:rumor
A glinting helm worn by knights of the crystalline warren,,1,Table_Armor:helm_blue:rumor
A glinting robe worn by master-servants of the yellow church,,1,Table_Armor:intabah:rumor
A glinting stalk hung with a sightless golden face. Lunges with blurring speed. Spews cursed breath,,1,Table_Enemies:MindPalmFruiting:description
A glinting stalk of the mind-warren. Was once a Yellow Priest. Projects its empty thought,,1,Table_Enemies:MindPalm:description
A glittering orange scythe wielded by an arch-excorite of the burning lands,,1,Table_Weapons:scythescorch:rumor
A glove formed from living stone. Worn by a mountain-king before the building of the temple-lands,,1,Table_Armor:fiststone:rumor
A golden bodyguard of 'he who stands above',,1,Table_Enemies:arbiter:description
A golden dagger sacred to the Brud filth-rites,,1,Table_Weapons:noxiousdagger:rumor
A golden path seems to form between the stars,,1,Table_Enemies:arbiter:rumor
A greataxe dedicated to an imprisoned cave-god of death,,1,Table_Weapons:DreadAxe:rumor
A greataxe of red-hued iron. Once belonged to a cursed war-prince,,1,Table_Weapons:redaxe:rumor
A greataxe pillaged from an abandoned Volkite temple. Inhabited by a sacred violet-hued flame,,1,Table_Weapons:agraaxe:rumor
A greatblade of incredible force. Long ago felled the guardian beast of a sacred forest,,1,Table_Weapons:pinecleaver:rumor
A greatsword enchanted with ice. Forged by an Inuga warrior of the high glaciers,,1,Table_Weapons:inugreatsword:rumor
A green cap worn by an ancient missionary of the filth-valleys,,1,Table_Armor:capvenom:rumor
A green robe worn by a frenzied summoner of the deep forest,,1,Table_Armor:robe_vigor:rumor
A green sash worn by the vanished sect of Keliot death-dealers,,1,Table_Armor:nadrag:rumor
A green-robed acolyte of the unruly vine. Worships a sacred grove that was destroyed long ago,,1,Table_Enemies:bramblemonk:description
A green-scaled beast that roams the wilderness. Spews fire,,1,Table_Enemies:greenwyrm:description
A grey skirt decorated with yellow beads. Sacred to the Heliot dance of ablation,,1,Table_Armor:Acid_Sash:rumor
A grey-robed shapeless adulant of the Yellow Queen. Wields a golden spear,,1,Table_Enemies:MaskedApostle:description
A grim servant,,1,Table_Allies:cadaver:description
A grim warrior-mage exiled from the gate of death. Pursues the secret 'ritual of emancipation' at the end of the world,,1,Table_Enemies:deathknight:description
A grotesque oozing demon. Amasses its bulk from the flux of life and death,,1,Table_Enemies:demongreen:description
A group of levitating eyes divided from an Okokorpus,,1,Table_Enemies:okopod:description
A growth produced from a vast fungal source,,1,Table_Allies:Mushroom:description
A guardian-executioner of the exiled Granga. Animated by a mask of hunger and war. Wields a tassled bi-scythe,,1,Table_Enemies:GrangaGutSpiller:description
A hand-claw made famous by a wandering duelist of the coastal plains,,1,Table_Weapons:zclaw:rumor
A haughty beast that once dwelled in the storm temples of Achra,,1,Table_Enemies:thunderdrake:description
A haughty mercenary. Trained to maintain defenses in the old ways of lost Shuppurak,,1,Table_Classes:Warrior:brief
A haughty one-eyed wanderer from the rumored island of giants. Derives might from vigor,,1,Table_Races:Cyclops:brief
A haughty reptile that feeds off the death of allies,,1,Table_Allies:boar:description
A heavily-armored skeleton wielding a cursed lance,,1,Table_Allies:HonoredDead:description
A heavy battle-spear washed ashore from the island of giants,,1,Table_Weapons:xyston:rumor
A heavy chestplate forged in the tunnel-lands from 'living gold',,1,Table_Armor:goldenchest:rumor
A heavy emerald-adorned chestplate. Forged long ago by a noble serpent-king of the dawn marshes,,1,Table_Armor:greenchest:rumor
A heavy emerald-adorned helm. Forged long ago by a noble serpent-king of the dawn marshes,,1,Table_Armor:greenhead:rumor
A heavy hammer crafted by a giant of the temple-lands,,1,Table_Weapons:warhammer:rumor
A heavy helm of a void-wandering knight.,,1,Table_Armor:voidhead:rumor
A heavy mask containing the spirit of a beast. Worn by a legendary berserker of the deep forest,,1,Table_Armor:beast_visage:rumor
A heavy mask containing the spirit of a crow. Worn by a reclusive mage of the 'eaten stars',,1,Table_Armor:crow_visage:rumor
A heavy mask containing the spirit of a lizard. Created as a disguise by the hermit-smith of the dawn marshes,,1,Table_Armor:lizard_visage:rumor
A helm crafted from the skull of a fallen bare-chested raider. Consecrated by the Lochra priesthood,,1,Table_Armor:SkullHelm:rumor
A helm dedicated to an imprisoned cave-god of death,,1,Table_Armor:DreadHelm:rumor
A helm forged for the last doomed blight-prince of the gate of death,,1,Table_Armor:darkhead:rumor
A helm forged in the tunnel-lands from 'living gold',,1,Table_Armor:goldmask:rumor
A helmet worn by a legendary bheith nochti during his adventures in the stars,,1,Table_Armor:HelmAmethyst:rumor
A hero of the eastern desert. Blessed with a slashing prayer-wind,,1,Table_Classes:Baghatar:brief
A hired archer,,1,Table_Allies:scout:description
A holy reveler with a chant of unending vigor. A leader of War-Priests who still proclaim the glory of lost Shuppurak,,1,Table_Classes:Gala:brief
A hooded fighter of the northern filth-valleys. Devoted to the purity of skill,,1,Table_Classes:Assassin:brief
A horned helmet once dedicated to the destroyer-god Agni. Stolen from a ruined temple in the burning lands,,1,Table_Armor:VotiveHelm:rumor
A horned red helmet. Once belonged to an Irga blood-lord,,1,Table_Armor:helm_red:rumor
A huge eye sprouted from the yearning of the 'inner blood.' Attacks all in sight with rending gore,,1,Table_Enemies:YearningEye:description
A hulk of mud animated by a fleck of 'living gold',,1,Table_Enemies:mud_golem:description
A human-shaped sliver of lightning,,1,Table_Allies:okko:description
A humanoid brute and child-eater driven from the deep forest,,1,Table_Enemies:bugbear:description
A humanoid rodent that lives in swarming colonies,,3,Table_Allies:ratman_peltast:description | Table_Enemies:ratman_guard:description | Table_Enemies:ratman_archer:description
A hunter of the eastern desert. Blessed with a sacred Jackal-shape,,1,Table_Classes:Upuat:brief
"A jewel-studded face of pale unfeeling stone. Worshipped as the ""divine flower"" by purple-robed cultists. Wretched to behold...",,1,Table_Enemies:JeweledVisage:description
A jeweled dagger once brandished by a nameless rebel-priest against the 'wandering king' of lost Shuppurak,,1,Table_Weapons:RebelJambiya:rumor
A jubilant imp from the infernal plane. Sojourned to the stars for the grand 'dance of reddening.' Wields a magic crook,,1,Table_Enemies:Kasharite:description
A knife carried by a master duelist of the coastal plains,,1,Table_Weapons:rinoir:rumor
A lance-wielding servant of the Thunder Priests,,1,Table_Enemies:Eldite:description
A levitating construct summoned from the astral mind-warren. Said to arrive in flocks through a 'gate of horn',,1,Table_Enemies:rhombid:description
A levitating emerald eye with hypnotic powers. Once possessed by a serpent-king of the dawn marshes,,1,Table_Weapons:EmeraldEye:rumor
A levitating golden eye. A sacred relic of the yellow church,,1,Table_Weapons:mindeye:rumor
A living altar sprouted from fields of decaying cosmic waste. Said by grey-robed priests to be a fleshly reincarnation of the divine gaze,,1,Table_Enemies:OkonicBed:description
A lone figure stands atop the astrolith...,,4,Table_Enemies:king:rumor | Table_Enemies:king2:rumor | Table_Enemies:king3:rumor | Table_Enemies:king4:rumor
A long-dead warrior animated by a nameless god of blood,,1,Table_Enemies:bloodrevenant:description
A longblade abandoned by a bheith nochti of the temple-lands,,1,Table_Weapons:bladeamethyst:rumor
A lord of the Tethic order. Armed with a ritualistic fanged blade,,1,Table_Enemies:tethic_knight:description
A loyal acolyte of Death. Despises the living,,1,Table_Allies:blightpriest:description
A loyal acolyte of Fire. Summoned from a volcanic temple,,1,Table_Allies:flamepriest:description
A loyal acolyte of Life. Summoned from a vibrant forest grove,,1,Table_Allies:grovepriest:description
A loyal acolyte of sacrifical blood. Summoned from a hidden temple of bone,,1,Table_Allies:bloodacolyte:description
A loyal acolyte of storm-born power. Summoned from a mountain shrine,,1,Table_Allies:fulminantpriest:description
A loyal acolyte of the Stars. Summoned from a distant tower,,1,Table_Allies:StarPriest:description
A loyal beast from the rolling steppe,,1,Table_Allies:tugar:description
A lumbering insect born from the vanished craft-queen. Attacks with spines of pale brass,,1,Table_Enemies:OrichBeetle:description
A lumbering vine-born beast of the ancient world. Banished to the trod. Crushes its prey with woody fists,,1,Table_Enemies:TrodBeast:description
A mace wielded by a mindhunter of the salt waste,,1,Table_Weapons:macemind:rumor
A magic aspirant of the temple-lands blessed with a ritual of amplification,,1,Table_Classes:Priest:brief
A magic mirror summoned from pearls and ice,,1,Table_Allies:PearlMirror:description
A magic staff abandoned by a death-mage who wandered the frozen waste,,1,Table_Weapons:deathstaff:rumor
A magic staff abandoned by a fire-mage who wandered the burning lands,,1,Table_Weapons:firestaff:rumor
A magic staff abandoned by an earth-mage of the temple-lands,,1,Table_Weapons:staff_earth:rumor
A magic staff from the mountain temple-lands. Treasured by aspiring ascetics,,1,Table_Weapons:StaffStar:rumor
A magic staff of flashing light. Once belonged to a prodigious thunder priest of the storm temples,,1,Table_Weapons:lightningstaff:rumor
A magic staff stolen from a shattered ice temple during the Surtmir conquests,,1,Table_Weapons:icestaff:rumor
A magnificent beast of elemental flame,,1,Table_Allies:RedDragon:description
A magnificent eagle from the island of giants,,1,Table_Enemies:ruk:description
A mantle once dedicated to the destroyer-god Agni. Stolen from a ruined temple in the burning lands,,1,Table_Armor:VotiveChest:rumor
A many-armed warlord of the Sebeks. Permitted to hold authority by accepting the fleshly distortion of the Waking Flower. Wields a mighty shield,,1,Table_Enemies:AlgaSebek:description
A many-eyed horror spawned from the corpse of an eaten star,,1,Table_Enemies:okokorpus:description
A many-masked Granga that awaits the return of its queen. Wields its birth mask chilled to dull-turquoise by the groaning winds of the outer stars,,1,Table_Enemies:GrangaResplendent:description
A martial priest drawn to the authority of a Gala. Attacks with a mind-repelling lance,,1,Table_Allies:WarPriest:description
A mass of Taggla-worms joined in a common dream. Venerated as a deity by wretched pilgrims of the salt waste,,1,Table_Enemies:taggla_idol:description
A mass of living vines that empower the arms of their wielder. Enchanted in the deep forest by a Bramble Lord,,1,Table_Armor:Arbestus:rumor
A massive serpent from the dawn marshes. Unleashed by Keliots to exhaust their prey,,1,Table_Enemies:acroserpent:description
A metal ring imbued with blinding light captured from beyond the astral wall,,1,Table_Weapons:Anwar:rumor
A metallic construct given life by a rogue ferromancer of the tunnel-lands,,1,Table_Enemies:irongolem:description
A metallic skirt once dedicated to the destroyer-god Agni. Stolen from a ruined temple in the burning lands,,1,Table_Armor:VotiveSkirt:rumor
"A mighty folk from the harsh northern foothills of the temple-lands, able to reforge bladed weapons into powerful greatswords",,1,Table_Races:Virya:brief
A mighty horned helm. Forged by the war-king of lost Shuppurak as a tribute to the rampaging bull-giant,,1,Table_Armor:taurushelm:rumor
"A mindless warrior summoned from the korpus of ""the one in red."" Attacks with a blade of bone",,1,Table_Enemies:BloodWretch:description
A minor elemental composed of swift spinning ice,,1,Table_Allies:icedisc:description
A monstrous flower with a burning bud. Embodies the rage of a sacred grove that once housed the children of a goddess,,1,Table_Enemies:RedFlower:description
A murderous antlered spirit from the frozen waste. Drawn to the despair of the path,,1,Table_Enemies:tupilaq:description
A murderous sentry of the Obelisk. Seeks pilgrims as trophies,,1,Table_Enemies:samnite:description
A mysterious creature of the deep tunnel-lands. Offers 'sacred skin' for divine favor,,1,Table_Races:Morlock:brief
A mystic imbued with the secrets of projective magic. Said to have studied in the crystalline warren. Vulnerable to harm,,1,Table_Classes:Sorcerer:brief
A necklace of protective flame. Stolen by a demon from the dead war-queen of the burning lands,,1,Table_Armor:RubyNecklace:rumor
A necklace worn by a volcano-dwelling sage. Abandoned during the Surtmir conquests,,1,Table_Armor:robe_fire:rumor
A nigh-immortal denizen of the northern ice caves. Performs ritualistic healing with charmed tattoos,,1,Table_Races:Albaz:brief
A noble warrior pledged to stewardship of the Astral Wall,,1,Table_Allies:astralknight:description
A nomad from the northern realms of dazzling snow. Enchanted with a blinding touch,,1,Table_Races:Arjana:brief
A once-noble drake cursed by the gate of death to live as an enraged avatar of decay,,1,Table_Enemies:deathdrake:description
A painted roundshield bearing the sigil of a legendary mubarizun,,1,Table_Weapons:clipeus:rumor
A pair fire-red gloves. Worn by the dead war-queen of the burning lands,,1,Table_Armor:glovesfire:rumor
A pair leggings forged in the tunnel-lands from 'living gold',,1,Table_Armor:GoldenGreaves:rumor
A pair of armguards forged for the first blight-prince of the gate of death,,1,Table_Armor:darkarms:rumor
A pair of dark-purple leggings. Once worn by a solitary monk who spoke of the 'eaten stars',,1,Table_Armor:darklegs:rumor
A pair of emerald-adorned armguards. Forged long ago by a noble serpent-king of the dawn marshes,,1,Table_Armor:greenhand:rumor
A pair of golden wristguards. Once adorned the war-king of lost Shuppurak,,1,Table_Armor:CommandBracers:rumor
A pair of heavy leggings worn by the fearsome bull-giant of the coastal plains,,1,Table_Armor:tauruslegs:rumor
A pair of ice-blue gloves. Worn by an Inuga warrior-king of the high glaciers,,1,Table_Armor:glovesice:rumor
A pair of jade bracers once worn by the arch-summoner of lost Shuppurak,,1,Table_Armor:JadeBracers:rumor
A pair of leggings abandoned by a void-wandering knight,,1,Table_Armor:voidlegs:rumor
A pair of leggings from a ruined Surtmir temple. Dedicated to Ragna who slumbers beneath the ice,,1,Table_Armor:ragnawrap:rumor
A pair of leggings worn by an exiled Inuga; a convert of the yellow church,,1,Table_Armor:tikaanisash:rumor
A pair of soft gloves worn by master-servants of the yellow church,,1,Table_Armor:glovespsychic:rumor
A pair of storm-blue gloves. Worn by an exalted sorcerer who called the first thunderdrakes to Achra,,1,Table_Armor:gloveszap:rumor
A pale dancing warrior with an enchanted acid-blade. On pilgrimage from the salt waste,,1,Table_Enemies:heliot:description
A paralyzing beast from the ancient earth. Now a companion-demon of an Uspori,,1,Table_Allies:Bukavac:description
A phantasmal horror of the Void; rebel offspring of Fawdaa. Birthed from the corpse of a Pentot,,1,Table_Enemies:umbralith:description
A pious fanatic. Constantly propitiates the gods,,1,Table_Classes:Zealot:brief
A platform heaped with 'living gold.' Treasured and worshipped by Hobgoblins,,1,Table_Enemies:golden_litter:description
A poisonous reptile charmed by a wild summoner,,1,Table_Allies:serpent:description
"A pot-bellied exile of the infernal plane, composed of chaotic, magic-imbued flesh",,1,Table_Races:Imp:brief
A power-hungry mystic devoted to prayer and death. Learned to cast flames in the burning lands,,1,Table_Classes:Warlock:brief
A protective necklace abandoned by an earth mage of the temple-lands,,1,Table_Armor:robe_earth:rumor
A putrid curse haunts this place,,1,Table_Enemies:filthrevenant:rumor
A queen of the fey. Guards the vine-draped exit of the trod. Wields a sickle and whip of elemental poison,,1,Table_Enemies:FeyBanrion:description
A quivering bulk slouches in the expanse of dying light,,1,Table_Enemies:SlouchingBeast:rumor
A rare beast of living brass born in the mountains of Achra,,1,Table_Allies:RedDragon2:description
A reanimated marksman bound to its master,,1,Table_Allies:skeleton_archer:description
A reanimated warrior bound to its master,,1,Table_Allies:skeleton:description
"A rebel sect that began among Lochra skull-wearers, the mute Ogham follow a strict orthodoxy that forbids the utterance of divine language. To pray is instead to partake in the mystery of violence, the splling of gore

The Ogham refuse the favor of their deities, seeking redemption chaotically in the roar of battle

""Mutter no prayer, for war is thy invocation""",,1,Table_Lore:Ogham:text
A red glove sown from the skin of a night-serpent,,1,Table_Armor:fistred:rumor
